time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss
360,241664,118,669,0.001,-0.059254080057144165,0.026403626,-3.814697265625e-05,0.2,0.239453125,-0.024157573794946076,1170,0.008404997932666447,-2.8259697526693346
360,243712,119,675,0.001,-0.06096465140581131,0.02455044,-0.00015223026275634766,0.2,0.159765625,-0.0304680360481143,1180,0.008506650713388807,-2.8476468920707703
360,245760,120,681,0.001,-0.17869910597801208,0.15677062,-5.4435272216796875,0.2,0.719677734375,-0.12857576448004693,1190,9.507120218188447e-07,-2.8052706569433212
360,247808,121,687,0.001,-0.06200913339853287,0.04566052,-2.574920654296875e-05,0.2,0.263232421875,-0.04046365034300834,1200,0.017014811490662397,-2.83172045648098
360,249856,122,692,0.001,-0.1798524111509323,0.1560713,-3.8927836418151855,0.2,0.74384765625,-0.13044063998386263,1210,2.292853996266331e-06,-2.796495535969734
360,251904,123,698,0.001,-0.18009109795093536,0.18207473,-4.005624771118164,0.2,0.744873046875,-0.13050533112254925,1220,6.337241398313154e-07,-2.7870154559612272
360,253952,124,704,0.001,-0.049730993807315826,0.034271292,-4.112720489501953e-05,0.2,0.235693359375,-0.026675041834823787,1230,0.008582211690372788,-2.841618204116821
360,256000,125,710,0.001,-0.17962220311164856,0.13542455,-5.402395248413086,0.2,0.703466796875,-0.12654487677500584,1240,1.946744250247434e-06,-2.8090294539928435
360,258048,126,715,0.001,-0.0561913326382637,0.036555655,-5.5909156799316406e-05,0.2,0.152978515625,-0.025227199168875815,1250,0.013322992151245217,-2.853944516181946
360,260096,127,721,0.001,-0.05974757298827171,0.025457459,-0.00011610984802246094,0.2,0.141943359375,-0.03182982446160167,1260,0.008527584915282205,-2.8538433492183684
360,262144,128,727,0.001,-0.1776179075241089,0.14881375,-3.581110954284668,0.2,0.719873046875,-0.12490530190989375,1270,1.3930088663016704e-06,-2.806857404112816
360,264192,129,732,0.001,-0.035722579807043076,0.035954967,-8.821487426757812e-06,0.2,0.21142578125,-0.03620365442475304,1280,0.04212467154720798,-2.851303231716156
360,266240,130,738,0.001,-0.05901120603084564,0.029005866,-0.00026416778564453125,0.2,0.1298828125,-0.03488994976505637,1290,0.014809612417593598,-2.857011851668358
360,268288,131,743,0.001,-0.06327438354492188,0.019216858,-0.00019359588623046875,0.2,0.13720703125,-0.029540956590790302,1300,0.008499718658276834,-2.8569339603185653
360,270336,132,749,0.001,-0.05941292271018028,0.027093388,-0.00011873245239257812,0.2,0.11845703125,-0.03115753055899404,1310,0.011122836105641909,-2.856821084022522
360,272384,133,755,0.001,-0.05657397210597992,0.024402637,-0.00010573863983154297,0.2,0.13359375,-0.027787530259229243,1320,0.008475700965209398,-2.852232551574707
360,274432,134,760,0.001,-0.06319902837276459,0.017278623,-5.6743621826171875e-05,0.2,0.150244140625,-0.037255493213888255,1330,0.016922245931345968,-2.8579756885766985
360,276480,135,766,0.001,-0.17083583772182465,0.14123058,-5.336183071136475,0.2,0.687158203125,-0.12554117777035573,1340,1.1743366087557661e-06,-2.822471150755882
360,278528,136,772,0.001,-0.05756360664963722,0.025450643,-4.6372413635253906e-05,0.2,0.164453125,-0.026824862253852187,1350,0.008530668079038151,-2.847460350394249
360,280576,137,777,0.001,-0.16440726816654205,0.150935,-4.961917877197266,0.2,0.686865234375,-0.11944928844459354,1360,1.0202856358887403e-06,-2.8075547009706496
360,282624,138,783,0.001,-0.059186339378356934,0.032013882,-4.792213439941406e-05,0.2,0.181640625,-0.03417019584449008,1370,0.013122572971042246,-2.8387681007385255
360,284672,139,788,0.001,-0.05817689374089241,0.0217066,-0.0002359151840209961,0.2,0.155615234375,-0.03030756979715079,1380,0.008488348597893491,-2.848223167657852
360,286720,140,794,0.001,-0.17018674314022064,0.14926568,-1.4115808010101318,0.2,0.71201171875,-0.12023266383912415,1390,9.58950204577036e-07,-2.8023965060710907
360,288768,141,800,0.001,-0.026259582489728928,0.03274822,-7.62939453125e-06,0.2,0.220556640625,-0.03973943064920604,1400,0.06355424060020595,-2.839183136820793
360,290816,142,805,0.001,-0.053829167038202286,0.039184082,-0.00018334388732910156,0.2,0.2193359375,-0.050095249875448646,1410,0.05747126045171171,-2.840564900636673
360,292864,143,811,0.001,-0.06499033421278,0.027736453,-0.0010982751846313477,0.2,0.201708984375,-0.03293776796781458,1420,0.015654825841193088,-2.846876484155655
360,294912,144,817,0.001,-0.1682194322347641,0.09661259,-0.0017546415328979492,0.2,0.543310546875,-0.05099785935599357,1430,0.003322629059854876,-2.827236795425415
360,296960,145,822,0.001,-0.1765826791524887,0.14942408,-1.6616489887237549,0.2,0.7244140625,-0.12979028951376675,1440,2.822508326971729e-06,-2.7936387807130814
360,299008,146,828,0.001,-0.06844669580459595,0.05832921,-5.6862831115722656e-05,0.2,0.25166015625,-0.04922837561462075,1450,0.038066595373675224,-2.8169838964939116
