rollout/ep_len_mean,train/n_updates,train/policy_loss,time/iterations,train/value_loss,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,time/fps,time/total_timesteps,train/learning_rate
1998.5,10299,-0.010113704018294811,10300,0.05585769563913345,2159,-0.4915032386779785,-20.3,0.9507125094532967,381,824000,0.0007
1942.2,10399,0.009233906865119934,10400,0.07047244161367416,2179,-0.5900247693061829,-20.0,0.9447854086756706,381,832000,0.0007
2113.5,10499,0.01715684123337269,10500,0.05391904339194298,2200,-0.5718085169792175,-20.3,0.9329396560788155,381,840000,0.0007
2259.7,10599,0.011063898913562298,10600,0.12421078979969025,2222,-0.5692200064659119,-20.3,0.9007075950503349,381,848000,0.0007
2237.1,10699,0.020138787105679512,10700,0.06501799076795578,2243,-0.573788583278656,-20.6,0.921861819922924,381,856000,0.0007
2209.3,10799,-0.059487976133823395,10800,0.06420034915208817,2264,-0.4506478011608124,-20.3,0.8748847842216492,381,864000,0.0007
2391.9,10899,0.026696009561419487,10900,0.04658769443631172,2285,-0.4973066449165344,-20.4,0.9359691143035889,381,872000,0.0007
2386.6,10999,0.0029628125485032797,11000,0.03407333046197891,2305,-0.5440925359725952,-20.6,0.9606889076530933,381,880000,0.0007
2516.2,11099,0.009808211587369442,11100,0.08247416466474533,2326,-0.6033765077590942,-20.5,0.850776344537735,381,888000,0.0007
2674.2,11199,-0.0006976572913117707,11200,0.023915449157357216,2347,-0.6038646697998047,-20.2,0.899995356798172,381,896000,0.0007
2541.5,11299,0.021445171907544136,11300,0.06425710767507553,2369,-0.3264892101287842,-20.2,0.8687262088060379,381,904000,0.0007
2330.5,11399,-0.005625539924949408,11400,0.04719221591949463,2390,-0.3862529695034027,-20.6,0.8532257676124573,381,912000,0.0007
2283.2,11499,-0.05644693598151207,11500,0.07554899901151657,2410,-0.5344252586364746,-20.1,0.9064464643597603,381,920000,0.0007
2320.2,11599,0.00928838737308979,11600,0.07232590764760971,2430,-0.33889272809028625,-20.2,0.861900195479393,381,928000,0.0007
2452.6,11699,-0.0211239792406559,11700,0.10504364222288132,2451,-0.32001781463623047,-19.8,0.8796136304736137,381,936000,0.0007
2342.9,11799,0.007233846466988325,11800,0.03132396936416626,2472,-0.35952386260032654,-20.1,0.9648729301989079,381,944000,0.0007
2284.1,11899,-0.0056412541307508945,11900,0.025512320920825005,2493,-0.38492998480796814,-20.3,0.855849027633667,381,952000,0.0007
2435.6,11999,0.030502278357744217,12000,0.0722542330622673,2514,-0.3245409429073334,-20.5,0.849349707365036,381,960000,0.0007
2456.4,12099,-0.02089904062449932,12100,0.13756664097309113,2534,-0.4378921687602997,-20.2,0.683724045753479,381,968000,0.0007
2290.7,12199,0.008704773150384426,12200,0.04947704076766968,2555,-0.37382686138153076,-19.2,0.8858710899949074,381,976000,0.0007
2236.2,12299,-0.003959551453590393,12300,0.03599467873573303,2576,-0.31615209579467773,-20.2,0.8714030832052231,381,984000,0.0007
2634.9,12399,0.010043477639555931,12400,0.04490385949611664,2597,-0.38136881589889526,-20.0,0.8056286424398422,381,992000,0.0007
2532.3,12499,-0.017955496907234192,12500,0.03442227467894554,2618,-0.262982577085495,-20.3,0.8388758301734924,381,1000000,0.0007
