time/iterations,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/value_loss,time/total_timesteps,train/entropy_loss,time/time_elapsed,train/explained_variance,rollout/ep_rew_mean,train/policy_loss
9100,1221.0,322,9099,0.0007,0.010071273893117905,728000,-0.03039075806736946,2255,0.998062650905922,54.8,-0.0009609138942323625
9200,1241.3,322,9199,0.0007,0.08266746997833252,736000,-0.056677769869565964,2279,0.9846437061205506,56.9,-0.004488588776439428
9300,1287.9,322,9299,0.0007,0.8030838370323181,744000,-0.2531452775001526,2303,-6.814109802246094,48.0,-0.024433810263872147
9400,1079.8,323,9399,0.0007,0.020746570080518723,752000,-0.0885649099946022,2327,0.9952138210646808,45.4,-0.007596930954605341
9500,1055.5,323,9499,0.0007,0.01791287027299404,760000,-0.09679237753152847,2352,0.9963727500289679,45.2,0.0017562647117301822
9600,1124.4,323,9599,0.0007,0.013664999976754189,768000,-0.03806581720709801,2376,0.9975365432910621,49.5,0.005119919311255217
9700,1076.1,323,9699,0.0007,0.004423755221068859,776000,-0.033225979655981064,2400,0.9992971150204539,46.0,-0.0010936835315078497
9800,1404.3,323,9799,0.0007,0.030491087585687637,784000,-0.03872149810194969,2424,0.9944961727596819,54.2,-0.00986775103956461
9900,1077.9,323,9899,0.0007,0.050624143332242966,792000,-0.008912322111427784,2448,0.98531174659729,45.8,0.00033426712616346776
10000,1209.3,323,9999,0.0007,0.025923389941453934,800000,-0.044914331287145615,2472,0.9943427443504333,53.0,0.01811746321618557
10100,1284.4,323,10099,0.0007,0.006304488517343998,808000,-0.003464404260739684,2496,0.9990257823374122,54.6,-4.267546501068864e-06
10200,1276.6,323,10199,0.0007,0.3422926068305969,816000,-0.10344243049621582,2519,0.9335286468267441,52.9,-0.01322969514876604
10300,1347.4,323,10299,0.0007,0.021360913291573524,824000,-0.02350195124745369,2543,0.9968125608284026,51.1,0.00907774269580841
10400,1428.4,324,10399,0.0007,0.10856323689222336,832000,-0.08370134979486465,2567,0.9790526498109102,57.0,-0.001791948452591896
10500,1434.9,324,10499,0.0007,0.09341862052679062,840000,-0.0449579618871212,2591,0.986095710657537,57.2,0.002372805494815111
