time/total_timesteps,train/explained_variance,rollout/ep_rew_mean,train/value_loss,time/fps,train/learning_rate,train/entropy_loss,time/time_elapsed,train/n_updates,train/policy_loss,rollout/ep_len_mean,time/iterations
744000,0.9974767302628607,47.8,0.012549610808491707,335,0.0007,-0.013637128286063671,2215,9299,-0.0010533948661759496,1193.6,9300
752000,0.9995389911055099,46.0,0.002899887738749385,335,0.0007,-0.01903572864830494,2239,9399,-0.00046298332745209336,1081.5,9400
760000,0.9986079896334559,45.3,0.008487703278660774,335,0.0007,-0.01302154827862978,2263,9499,-0.004708150401711464,1162.6,9500
768000,0.9981078245909885,39.6,0.010425720363855362,335,0.0007,-0.007664679083973169,2286,9599,5.090792001283262e-06,1146.6,9600
776000,0.9883475797250867,47.5,0.07703430950641632,335,0.0007,-0.015939105302095413,2309,9699,-0.013060444965958595,1147.6,9700
784000,0.9954032958485186,47.2,0.024747896939516068,336,0.0007,-0.032861124724149704,2333,9799,-0.004091590642929077,1147.5,9800
792000,0.9997648836433655,45.2,0.0015931057278066874,336,0.0007,-0.006254473235458136,2356,9899,2.1370346985349897e-06,1099.2,9900
800000,0.9988619787618518,47.9,0.008113297633826733,336,0.0007,-0.0152791952714324,2379,9999,-0.0010516986949369311,1211.7,10000
808000,0.9949561948888004,53.1,0.020881613716483116,336,0.0007,-0.02253914624452591,2402,10099,-0.01337366458028555,1269.0,10100
816000,0.998942936770618,50.3,0.007215053774416447,336,0.0007,-0.0068498896434903145,2426,10199,1.1727373930625618e-05,1222.5,10200
824000,0.9996625444327947,48.3,0.002847418887540698,336,0.0007,-0.0015481790760532022,2449,10299,6.987310825934401e-06,1182.0,10300
832000,0.9987685270607471,47.9,0.0076940045692026615,336,0.0007,-0.0038746760692447424,2474,10399,-1.7479991583968513e-05,1139.9,10400
840000,0.9997048909135628,48.9,0.0019954934250563383,336,0.0007,-0.0028383038006722927,2497,10499,-4.918390914099291e-06,1155.4,10500
848000,0.9983623494626954,48.9,0.01806420460343361,336,0.0007,-0.0018172806594520807,2520,10599,-4.356156750873197e-06,1144.4,10600
856000,0.9997355162049644,58.0,0.0009420562419109046,336,0.0007,-0.004241322632879019,2543,10699,1.0928462870651856e-05,1159.7,10700
864000,0.9994137017638423,48.4,0.0017066065920516849,336,0.0007,-0.014578456059098244,2566,10799,-1.9259166947449557e-05,1088.5,10800
872000,0.9998087425337872,46.0,0.0006123209022916853,336,0.0007,-0.006753865163773298,2589,10899,4.398537839733763e-06,1071.9,10900
880000,0.9991945648798719,46.0,0.0019042236963286996,336,0.0007,-0.006867900490760803,2612,10999,2.148962812498212e-05,1074.3,11000
888000,0.9994839444989339,46.0,0.0013249999610707164,336,0.0007,-0.014035618863999844,2635,11099,-0.00044133240589872,1069.4,11100
896000,0.999099928943906,47.1,0.002345229033380747,336,0.0007,-0.010788077488541603,2659,11199,-1.0822302101587411e-05,1078.9,11200
904000,0.984896294772625,46.0,0.04203275963664055,336,0.0007,-0.043057508766651154,2683,11299,-0.00263136881403625,1073.9,11300
912000,0.9999672079466109,46.0,7.001783524174243e-05,336,0.0007,-0.013082596473395824,2707,11399,-1.5922372540444485e-06,1069.6,11400
920000,0.9995025868993253,47.0,0.0009172765421681106,336,0.0007,-0.01806684210896492,2730,11499,4.0351016650674865e-05,1072.8,11500
928000,0.999584689619951,46.0,0.0009706385317258537,336,0.0007,-0.009115874767303467,2754,11599,-1.469498238293454e-05,1068.5,11600
936000,0.983452282845974,46.0,0.038470201194286346,336,0.0007,-0.018154703080654144,2777,11699,-0.002890937263146043,1074.1,11700
944000,0.9998054652096471,46.0,0.00041026630788110197,337,0.0007,-0.012393074110150337,2800,11799,-2.1792002371512353e-05,1068.5,11800
952000,0.9976623693946749,46.3,0.0046843248419463634,337,0.0007,-0.02994815818965435,2822,11899,-0.0002027450391324237,1088.4,11900
960000,0.9993896468658932,45.8,0.0013256082311272621,337,0.0007,-0.01953226886689663,2844,11999,0.002886054804548621,1077.3,12000
968000,0.9996015675133094,45.8,0.0008412929601036012,337,0.0007,-0.020066941156983376,2869,12099,-0.0002537480613682419,1077.0,12100
976000,0.977749664336443,46.0,0.052845489233732224,337,0.0007,-0.10856053978204727,2893,12199,-0.004370500799268484,1071.4,12200
984000,0.9989057646598667,45.8,0.002753066597506404,337,0.0007,-0.010376076214015484,2917,12299,-1.0082679182232823e-05,1078.6,12300
992000,0.9980579592520371,46.0,0.0059701381251215935,337,0.0007,-0.015388185158371925,2942,12399,-1.6664065697113983e-05,1072.2,12400
1000000,0.9998558290099027,45.8,0.0004779779992531985,337,0.0007,-0.03195890784263611,2965,12499,0.00017982718418352306,1076.7,12500
